polling_date,province,cc_mean_vote_share,dgm_mean_vote_share,pdal_mean_vote_share,ssp_mean_vote_share,cc_win_probability,dgm_win_probability,pdal_win_probability,ssp_win_probability
2024-05-19,Cerebrica,0.2518509634613192,0.35832092432347434,0.29924818509329004,0.09057992712191774,0.005,0.951,0.044,0.0
2024-05-19,Cortexia,0.13177583441364854,0.2926867403108033,0.29344168821669775,0.2820957370588502,0.00025,0.43925,0.45175,0.10875
2024-05-19,Neuronia,0.04647959960946621,0.26705616822624534,0.13236014106447394,0.5541040910998152,0.0,0.0,0.0,1.0
2024-05-19,Amperville,0.051988918966172956,0.2456639912265695,0.6190313891861269,0.0,0.0,0.0,1.0,0.0
2024-05-19,Binaryshire,0.6684420443930944,0.11225438629900751,0.13598786868676774,0.0,1.0,0.0,0.0,0.0
2024-05-19,Byteforge Domain,0.3454275725534916,0.17025209040309683,0.40100463642227974,0.0,0.04475,0.0,0.95525,0.0
2024-05-19,Circuiton,0.08795554130552051,0.44995044560720177,0.3787783124661448,0.0,0.0,0.975,0.025,0.0
2024-05-19,Electropolis,0.248911801488837,0.3677296081374278,0.3000428897526049,0.0,0.003,0.96975,0.02725,0.0
2024-05-19,Infinitron Peninsula,0.368622599768579,0.32198036957903775,0.22608133003125055,0.0,0.94925,0.04875,0.002,0.0
2024-05-19,Infoglen,0.28909434106101634,0.33544366141599136,0.29214629690186,0.0,0.04375,0.88475,0.0715,0.0
2024-05-19,Quantumridge,0.1748245662491025,0.3197691110130458,0.42209062211672,0.0,0.0,0.00675,0.99325,0.0
2024-05-19,Voltagea,0.10588343909327103,0.3963162775276657,0.41448458275793026,0.0,0.0,0.2495,0.7505,0.0
2024-05-18,Cerebrica,0.25021338632806445,0.357817304226893,0.3023534488721083,0.08961586057293362,0.0045,0.94525,0.05025,0.0
2024-05-18,Cortexia,0.13019948341415555,0.29221658698924635,0.2965499127198333,0.281034016876764,0.00025,0.3995,0.51125,0.089
2024-05-18,Neuronia,0.04494674103611438,0.2665990838961376,0.135550500814356,0.5529036742533918,0.0,0.0,0.0,1.0
2024-05-18,Amperville,0.05054510273496972,0.24520744318330012,0.6216845261737798,0.0,0.0,0.0,1.0,0.0
