polling_date,province,cc_mean_vote_share,dgm_mean_vote_share,pdal_mean_vote_share,ssp_mean_vote_share,cc_win_probability,dgm_win_probability,pdal_win_probability,ssp_win_probability
2024-06-14,Cerebrica,0.29216939945291637,0.3250005864808298,0.3231832603713339,0.05964675369492021,0.083,0.462,0.455,0.0
2024-06-14,Cortexia,0.14503216302249208,0.24457400249476396,0.3160681157902759,0.2943257186924684,0.00075,0.0225,0.79075,0.186
2024-06-14,Neuronia,0.040512164863461694,0.21316690283505474,0.11868257995207719,0.6276383523494062,0.0,0.0,0.0,1.0
2024-06-14,Amperville,0.04782754158666457,0.19197904400774773,0.7094241255591726,0.0,0.0,0.0,1.0,0.0
2024-06-14,Binaryshire,0.7943294377540996,0.03042495507941003,0.12447631832007718,0.0,1.0,0.0,0.0,0.0
2024-06-14,Byteforge Domain,0.4031708795899382,0.10065802601578677,0.44540180554786124,0.0,0.10675,0.0,0.89325,0.0
2024-06-14,Circuiton,0.09138178872665073,0.43936237173579035,0.4184865506911425,0.0,0.0,0.73675,0.26325,0.0
2024-06-14,Electropolis,0.28629385660472784,0.3397959837267195,0.3231408708221366,0.0,0.037,0.673,0.29,0.0
2024-06-14,Infinitron Peninsula,0.431259198204148,0.28439535077769895,0.23357616217173593,0.0,0.99475,0.0025,0.00275,0.0
2024-06-14,Infoglen,0.33495342331984757,0.3006988983961489,0.3135783894375863,0.0,0.677,0.093,0.23,0.0
2024-06-14,Quantumridge,0.1965769595576696,0.28171759857831347,0.47093615301760244,0.0,0.00025,0.00125,0.9985,0.0
2024-06-14,Voltagea,0.11309180874412306,0.3744133812622523,0.46172552114720855,0.0,0.0,0.02175,0.97825,0.0
2024-06-13,Cerebrica,0.29211586496650255,0.32325052539883664,0.3253266839099931,0.059306925724668044,0.08125,0.41525,0.5035,0.0
2024-06-13,Cortexia,0.14488575443543517,0.24277317556425598,0.31820704819759216,0.294134021802715,0.00075,0.0195,0.81125,0.1685
2024-06-13,Neuronia,0.040299782488506165,0.21134625151334926,0.12069692116436001,0.6276570448337833,0.0,0.0,0.0,1.0
2024-06-13,Amperville,0.04764467914517227,0.19032122203300442,0.7117685551875552,0.0,0.0,0.0,1.0,0.0
2024-06-13,Binaryshire,0.7947272720143003,0.02864146172048453,0.12636572263094856,0.0,1.0,0.0,0.0,0.0
2024-06-13,Byteforge Domain,0.40326443534029166,0.09892916629255859,0.44754085473288324,0.0,0.098,0.0,0.902,0.0
2024-06-13,Circuiton,0.09123280671840135,0.43789698689108575,0.42060466275624614,0.0,0.0,0.7035,0.2965,0.0
2024-06-13,Electropolis,0.2862964948341744,0.3382531471388729,0.32518481439268593,0.0,0.037,0.633,0.33,0.0
2024-06-13,Infinitron Peninsula,0.4313746035895253,0.28280941856612934,0.23555043421007765,0.0,0.995,0.00225,0.00275,0.0
2024-06-13,Infoglen,0.3349939133619188,0.2991256485586995,0.31561489444511454,0.0,0.671,0.081,0.248,0.0
2024-06-13,Quantumridge,0.19650980786900746,0.2801295833688587,0.47309506512786487,0.0,0.00025,0.001,0.99875,0.0
2024-06-13,Voltagea,0.11295971475328219,0.37289747321761996,0.46387726839483034,0.0,0.0,0.0185,0.9815,0.0
2024-06-12,Cerebrica,0.28839145836319263,0.3273095784711088,0.32429633116480255,0.06000263200089713,0.062,0.487,0.451,0.0
2024-06-12,Cortexia,0.1406779618453541,0.24656800535351786,0.3171533202601817,0.29560071254094633,0.00075,0.0215,0.7945,0.18325
2024-06-12,Neuronia,0.035748613172906125,0.21503790040681023,0.11899472785998674,0.6302187585602971,0.0,0.0,0.0,1.0
